descricao;ano_inicial;ano_final;anos_distintos;preco_inicial;preco_final;variacao_nominal_pct;ipca_periodo_pct;variacao_real_pct;diagnostico
MOCHO GIRATÓRIO COM ENCOSTO E RODÍZIOS;2015;2020;4;226.0;315.0;39.38;23.77;12.61;⚠️ Pressão de demanda — subiu acima do IPCA
COMPRESSOR 3/4HP ROTATIVO.;2015;2018;4;275.5;352.12;27.81;13.53;12.58;⚠️ Pressão de demanda — subiu acima do IPCA
FICHA DE OBSERVAÇÃO DO ANIMAL AGRESSOR;2018;2023;5;6.69;10.0;49.48;32.8;12.56;⚠️ Pressão de demanda — subiu acima do IPCA
VARFARINA SÓDICA 5MG CPR;2016;2020;4;0.09;0.11;26.44;16.45;12.5;⚠️ Pressão de demanda — subiu acima do IPCA
CIRCUITO ELETRONICO DE POTENCIA FL BIV;2022;2024;3;474.92;586.0;23.39;9.68;12.5;⚠️ Pressão de demanda — subiu acima do IPCA
APARELHO TELEFÔNICO COM FIO.;2018;2021;4;31.45;42.45;34.98;19.99;12.49;⚠️ Pressão de demanda — subiu acima do IPCA
VINHO TINTO SUAVE EM GARRAFA;2018;2021;3;14.0;18.9;35.0;19.99;12.49;⚠️ Pressão de demanda — subiu acima do IPCA
CATALISADOR 900ML;2018;2021;4;43.71;59.0;34.98;19.99;12.49;⚠️ Pressão de demanda — subiu acima do IPCA
BALDE ESPREMEDOR;2018;2021;4;280.8;379.0;34.97;19.99;12.49;⚠️ Pressão de demanda — subiu acima do IPCA
ESTUDO SÓCIO-ECONÔMICA CAPS II AD-;2018;2022;4;9.74;13.9;42.71;26.94;12.47;⚠️ Pressão de demanda — subiu acima do IPCA
ROLO COMPACTADOR MULLER VAP55;2023;2025;3;20.9;25.68;22.85;9.3;12.42;⚠️ Pressão de demanda — subiu acima do IPCA
BPA INDIVIDUALIAZADO 2 VIAS AUTOCOPIATIVO (BRACO/AZUL);2018;2020;3;7.5;9.19;22.53;9.02;12.41;⚠️ Pressão de demanda — subiu acima do IPCA
HONDA XLR 125 ES 2001;2019;2024;4;34.0;51.0;50.0;33.47;12.4;⚠️ Pressão de demanda — subiu acima do IPCA
CARNE BOVINA, CORTE RABADA;2015;2017;3;12.99;15.98;23.02;9.43;12.39;⚠️ Pressão de demanda — subiu acima do IPCA
MÁQUINA INVERSORA DE SOLDA MULTIPROCESSO 220VAC, POTÊNCIA DE NO MÍNIMO 5,5KVA, CONFORME ESPECIFICAÇÕES CONSTANTES NO TERMO DE REFERÊNCIA.;2022;2025;3;2219.0;2850.0;28.44;14.35;12.32;⚠️ Pressão de demanda — subiu acima do IPCA
GRAMPO PARA GRAMPEADOR DE MADEIRA GALVANIZADO, 106/6;2021;2023;3;8.19;10.17;24.18;10.68;12.31;⚠️ Pressão de demanda — subiu acima do IPCA
COUVE CHINESA;2018;2023;4;3.05;4.56;49.51;32.8;12.27;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL HIGIENICO 500M;2017;2025;3;55.6;94.0;69.06;50.59;12.26;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL TOALHA DE COPA E COZINHA;2015;2024;8;3.1;5.5;77.42;58.06;12.26;⚠️ Pressão de demanda — subiu acima do IPCA
"CONSULTÓRIO ODONTOLÓGICO;";2019;2022;3;14500.0;19800.0;36.55;21.69;12.21;⚠️ Pressão de demanda — subiu acima do IPCA
PANO MULTIÚSO;2018;2021;4;88.4;119.0;34.62;19.99;12.2;⚠️ Pressão de demanda — subiu acima do IPCA
ESTOJO ENDODONTICO 24 FUROS 07X06X05CM;2020;2025;5;52.93;79.04;49.33;33.14;12.16;⚠️ Pressão de demanda — subiu acima do IPCA
FOLHA A4;2018;2021;4;14.5;19.5;34.48;19.99;12.14;⚠️ Pressão de demanda — subiu acima do IPCA
REPARTIÇÃO DE PINUS ENCANTILHADA;2015;2023;5;25.0;42.25;69.0;50.77;12.1;⚠️ Pressão de demanda — subiu acima do IPCA
CX DÁGUA FIBRA    310 LITROS;2015;2021;6;148.0;226.0;52.7;36.22;12.1;⚠️ Pressão de demanda — subiu acima do IPCA
LAMPADA VAPOR DE SODIO 400W E 40;2015;2018;4;29.64;37.72;27.26;13.53;12.1;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT MOBI LIKE 1.0 FLEX 4P 2019 – 2020;2021;2023;3;32.0;39.68;23.99;10.68;12.03;⚠️ Pressão de demanda — subiu acima do IPCA
CONJUNTO MEDIDOR PARA ALGINATO;2023;2025;3;8.89;10.89;22.5;9.3;12.03;⚠️ Pressão de demanda — subiu acima do IPCA
PROGRAMA NACIONAL DE CONTROLE DA DENGUE - PNCD;2016;2023;6;1.94;3.09;59.28;41.85;12.02;⚠️ Pressão de demanda — subiu acima do IPCA
BROCA AÇO RÁPIDO  8MM;2015;2021;6;7.99;12.19;52.57;36.22;12.02;⚠️ Pressão de demanda — subiu acima do IPCA
MOLDEIRA TOTAL PERFURADA PLÁSTICO;2019;2025;6;42.43;66.11;55.81;39.16;11.97;⚠️ Pressão de demanda — subiu acima do IPCA
MOTOR ENDODÔNTICO ELÉTRICO;2019;2025;6;4250.0;6616.0;55.67;39.16;11.87;⚠️ Pressão de demanda — subiu acima do IPCA
ETIQUE LABORATÓRIO DENGUE (PICOTADO);2016;2023;3;8.5;13.5;58.82;41.85;11.87;⚠️ Pressão de demanda — subiu acima do IPCA
TINTA ESMALTE SINTÉTICO, LINHA PREMIUM NA COR: VERDE.;2015;2017;3;42.5;52.0;22.35;9.43;11.81;⚠️ Pressão de demanda — subiu acima do IPCA
LIVRO DE PROTOCOLO CAPA DURA;2015;2024;5;6.2;10.95;76.61;58.06;11.77;⚠️ Pressão de demanda — subiu acima do IPCA
CONFECÇÃO DE ETIQUETAS ADESIVAS, PLASTICAS, TAM. 7X4CM.;2020;2024;4;0.21;0.3;42.86;27.7;11.76;⚠️ Pressão de demanda — subiu acima do IPCA
CD VIRGEM, 700MB DE CAPACIDADE SEM CAPA;2016;2020;3;0.54;0.7;29.63;16.45;11.76;⚠️ Pressão de demanda — subiu acima do IPCA
CANETAS HIDROGRÁFICAS;2015;2019;3;4.68;6.19;32.26;18.42;11.75;⚠️ Pressão de demanda — subiu acima do IPCA
REPOLHO VERDE.;2016;2024;3;3.99;6.62;65.91;48.71;11.73;⚠️ Pressão de demanda — subiu acima do IPCA
REFRIGERANTE DE LARANJA: EM EMBALAGEM PET DE 2 LITROS;2018;2023;4;4.75;7.04;48.21;32.8;11.72;⚠️ Pressão de demanda — subiu acima do IPCA
LAPISEIRA, MATERIAL PLÁSTICO, DIÂMETRO DE CARGA 0,5MM;2020;2024;4;2.23;3.17;42.15;27.7;11.67;⚠️ Pressão de demanda — subiu acima do IPCA
PASTA CATALOGO PARA DOCUMENTOS;2016;2024;5;6.94;11.52;65.99;48.71;11.64;⚠️ Pressão de demanda — subiu acima do IPCA
FICHA DE CADASTRO INDIVIDUAL;2018;2020;3;1.76;2.14;21.59;9.02;11.61;⚠️ Pressão de demanda — subiu acima do IPCA
MICONAZOL 20MG/G (2%) CREME VAGINAL, COM NO MINIMO 7 APLICAD;2019;2023;4;5.0;7.1;42.0;27.32;11.61;⚠️ Pressão de demanda — subiu acima do IPCA
SORO GLICOSADO 250ML (SOLUÇÃO DE GLICOSE A 5%).;2018;2021;4;2.21;2.95;33.51;19.99;11.57;⚠️ Pressão de demanda — subiu acima do IPCA
ESPIRONOLACTONA 100 MG;2016;2019;3;0.28;0.35;25.54;11.41;11.54;⚠️ Pressão de demanda — subiu acima do IPCA
CLORIDRATO DE PETIDINA 50 MG SOL INJ 2 ML;2016;2019;3;1.48;1.84;24.32;11.41;11.51;⚠️ Pressão de demanda — subiu acima do IPCA
CABO DE PÁ DE CAVAR;2015;2021;6;4.87;7.4;51.95;36.22;11.5;⚠️ Pressão de demanda — subiu acima do IPCA
PONTA DE ULTRASSON E6D - (ROSCA EXTERNA);2020;2024;4;170.0;242.0;42.35;27.7;11.47;⚠️ Pressão de demanda — subiu acima do IPCA
BISCOITO WAFER SABORES DIVERSOS EMBALAGEM 160G;2020;2024;5;2.39;3.4;42.26;27.7;11.4;⚠️ Pressão de demanda — subiu acima do IPCA
SALGADO ASSADO TIPO ESFIHA DE FRANGO;2015;2023;6;57.16;96.0;67.95;50.77;11.39;⚠️ Pressão de demanda — subiu acima do IPCA
SORO GLICOSADO 500ML (SOLUÇÃO DE GLICOSE A 5%).;2018;2021;4;2.79;3.73;33.69;19.99;11.38;⚠️ Pressão de demanda — subiu acima do IPCA
VÁLVULA PARA EXTINTOR CO2;2015;2023;7;35.0;58.77;67.92;50.77;11.37;⚠️ Pressão de demanda — subiu acima do IPCA
PLACA ELETRÔNICA AR CONDICIONADO UNIVERSAL;2016;2021;5;92.67;132.24;42.7;28.16;11.34;⚠️ Pressão de demanda — subiu acima do IPCA
JOGO ANEIS PISTÃO;2022;2025;4;80.14;102.0;27.28;14.35;11.31;⚠️ Pressão de demanda — subiu acima do IPCA
AZUL DE METILENO CHIMIOLUX 0,005%;2019;2025;4;106.5;164.9;54.84;39.16;11.28;⚠️ Pressão de demanda — subiu acima do IPCA
MÁQUINA PARA CORTAR ASFALTO/CONCRETO, COM MOTOR MOVIDO À GASOLINA DE NO MÍNIMO 13HP - 4 TEMPOS, PARA DISCO DE 300 E 350MM;2020;2023;3;4800.0;6499.0;35.4;21.81;11.15;⚠️ Pressão de demanda — subiu acima do IPCA
COLA DE SECAGEM RÁPIDA C/5GR (TIPO SUPERBONDER);2016;2018;3;8.13;9.65;18.7;6.81;11.11;⚠️ Pressão de demanda — subiu acima do IPCA
TRAMADOL, CLORIDRATO DE 50 MG;2018;2020;3;0.1;0.12;21.65;9.02;11.11;⚠️ Pressão de demanda — subiu acima do IPCA
GABAPENTINA 300MG CP;2016;2019;3;0.29;0.36;23.45;11.41;11.11;⚠️ Pressão de demanda — subiu acima do IPCA
CIMETIDINA 200 MG;2016;2019;3;0.1;0.12;30.53;11.41;11.11;⚠️ Pressão de demanda — subiu acima do IPCA
FORNO MICROONDAS;2015;2023;4;430.0;720.0;67.44;50.77;11.06;⚠️ Pressão de demanda — subiu acima do IPCA
JOGO TALHER COM 24 UNIDADES;2020;2024;5;69.5;98.53;41.77;27.7;11.02;⚠️ Pressão de demanda — subiu acima do IPCA
FACA TIPO AÇOUGUEIRO 20CM DE LÂMINA 8;2017;2025;3;15.5;25.9;67.1;50.59;11.02;⚠️ Pressão de demanda — subiu acima do IPCA
FITA ISOLANTE 19MM 20M CERTIFICADO INMETRO;2015;2021;5;2.36;3.57;51.27;36.22;11.02;⚠️ Pressão de demanda — subiu acima do IPCA
ENVELOPES AUTO SELANTES 250MMX350MM;2017;2022;5;52.0;76.0;46.15;31.69;10.98;⚠️ Pressão de demanda — subiu acima do IPCA
CIMENTO CP-IV 32 50 KG;2016;2025;3;20.0;34.4;72.0;55.04;10.95;⚠️ Pressão de demanda — subiu acima do IPCA
BRÓCOLIS - NAS ESCOLAS;2021;2024;3;11.22;14.44;28.7;16.03;10.92;⚠️ Pressão de demanda — subiu acima do IPCA
PLOTAGEM PRETO/BRANCO.;2016;2018;3;6.25;7.4;18.4;6.81;10.88;⚠️ Pressão de demanda — subiu acima do IPCA
MARCO CEDRO 0,60 X 2,10 X 0,16;2015;2021;6;99.0;149.5;51.01;36.22;10.86;⚠️ Pressão de demanda — subiu acima do IPCA
MARGARINA COM SAL;2018;2021;3;103.0;137.0;33.01;19.99;10.86;⚠️ Pressão de demanda — subiu acima do IPCA
MARCO CEDRO 0,70 X 2,10 X 0,16;2015;2021;6;99.0;149.5;51.01;36.22;10.86;⚠️ Pressão de demanda — subiu acima do IPCA
SERINGA CARPULE COM REFLUXO-12,5CM;2019;2025;6;22.0;33.93;54.23;39.16;10.82;⚠️ Pressão de demanda — subiu acima do IPCA
ARGAMASSA MASSA PRONTA;2018;2021;3;6.1;8.1;32.79;19.99;10.8;⚠️ Pressão de demanda — subiu acima do IPCA
CAIXA COPO 200ML SEM GÁS, COM 48 UNIDADES;2015;2024;4;22.0;38.5;75.0;58.06;10.73;⚠️ Pressão de demanda — subiu acima do IPCA
LÂMINA DE BISTURI DESCARTÁVEL Nº. 20;2015;2018;3;19.49;24.5;25.71;13.53;10.72;⚠️ Pressão de demanda — subiu acima do IPCA
LÂMINA DE BISTURI DESCARTÁVEL Nº. 22;2015;2018;3;19.49;24.5;25.71;13.53;10.72;⚠️ Pressão de demanda — subiu acima do IPCA
CURVA ELETRODUTO PVC ANTI-CHAMA 1  X 90º PRETA;2015;2021;6;1.96;2.96;51.02;36.22;10.71;⚠️ Pressão de demanda — subiu acima do IPCA
SAXAGLIPTINA 5MG;2016;2019;3;2.98;3.67;23.15;11.41;10.71;⚠️ Pressão de demanda — subiu acima do IPCA
PREGO COM CABEÇA 22X48,PACOTE DE 01 KG;2015;2018;4;7.99;10.04;25.72;13.53;10.7;⚠️ Pressão de demanda — subiu acima do IPCA
GLUCONATO DE CÁLCIO 10% 10ML;2015;2018;3;1.22;1.53;25.11;13.53;10.66;⚠️ Pressão de demanda — subiu acima do IPCA
VASSOURA DE PALHA;2015;2023;8;19.04;31.77;66.86;50.77;10.66;⚠️ Pressão de demanda — subiu acima do IPCA
COLA BRANCA;2015;2021;7;13.8;20.8;50.72;36.22;10.65;⚠️ Pressão de demanda — subiu acima do IPCA
CERA EM PASTA, PESO MINIMO DE  4,5 QUILOS, PARA PISOS QUENTE;2021;2024;3;110.0;141.23;28.39;16.03;10.65;⚠️ Pressão de demanda — subiu acima do IPCA
SULFAMETOXAZOL 200MG+ TRIMETOPRIMA 40MG/5ML 100ML;2015;2018;3;1.13;1.42;25.93;13.53;10.62;⚠️ Pressão de demanda — subiu acima do IPCA
SORO FISIOLOGICO 1000ML (SOLUÇÃO DE CLORETO DE SÓDIO 0,9%);2015;2020;3;3.58;4.9;36.87;23.77;10.61;⚠️ Pressão de demanda — subiu acima do IPCA
CX SIFONADA 100 X 50;2015;2021;6;8.3;12.5;50.6;36.22;10.6;⚠️ Pressão de demanda — subiu acima do IPCA
CHAVE CENTRIFUGA;2022;2024;3;73.2;88.8;21.31;9.68;10.59;⚠️ Pressão de demanda — subiu acima do IPCA
PLACA ADESIVA 20X10 CM, 4 CORES EM ADESIVO VINIL;2020;2023;3;4.45;6.0;34.83;21.81;10.56;⚠️ Pressão de demanda — subiu acima do IPCA
AUTO DE CONSTATAÇÃO DE EMBRIAGUEZ;2018;2021;3;9.8;13.0;32.65;19.99;10.54;⚠️ Pressão de demanda — subiu acima do IPCA
AAS - ACIDO ACETILSALICILICO TAMPONADO 200MG;2016;2019;3;0.2;0.25;22.85;11.41;10.53;⚠️ Pressão de demanda — subiu acima do IPCA
BETAISTINA 8MG CPR;2016;2019;3;0.2;0.25;25.63;11.41;10.53;⚠️ Pressão de demanda — subiu acima do IPCA
SORO GLICOFISIOLOGICO 500ML;2015;2021;5;2.49;3.75;50.6;36.22;10.44;⚠️ Pressão de demanda — subiu acima do IPCA
COLETE ESPORTIVO;2021;2025;5;13.85;18.5;33.57;20.97;10.42;⚠️ Pressão de demanda — subiu acima do IPCA
BUCHA DE REDUÇÃO PVC CURTA SOLD. 32 X 25 MM,NBR 5648.;2015;2021;6;0.48;0.72;50.0;36.22;10.42;⚠️ Pressão de demanda — subiu acima do IPCA
GRAMPO PARA GRAMPEADOR GALVANIZADO, 23/13;2021;2023;3;16.29;19.9;22.16;10.68;10.37;⚠️ Pressão de demanda — subiu acima do IPCA
PNEU NOVO 1300X24 COMPACTADOR 8 LONAS;2019;2025;3;3380.0;5190.0;53.55;39.16;10.34;⚠️ Pressão de demanda — subiu acima do IPCA
SULFADIAZINA DE PRATA 1% POMADA POTE COM 400G;2015;2018;4;18.12;22.7;25.24;13.53;10.32;⚠️ Pressão de demanda — subiu acima do IPCA
FARINHA DE TAPIOCA;2020;2024;4;6.48;9.13;40.9;27.7;10.31;⚠️ Pressão de demanda — subiu acima do IPCA
BUPIVACAÍNA 0,5 % SEM VASOCONSTRITOR FRASCO COM 20 ML;2015;2017;3;16.98;20.5;20.73;9.43;10.31;⚠️ Pressão de demanda — subiu acima do IPCA
ADENOSINA 3MG/ML INJ 2ML;2016;2019;4;6.72;8.25;22.77;11.41;10.28;⚠️ Pressão de demanda — subiu acima do IPCA
SERVIÇO (HORA);2015;2019;5;69.51;90.77;30.59;18.42;10.27;⚠️ Pressão de demanda — subiu acima do IPCA
FICHA CLÍNICA ODONTOLÓGICA.;2018;2023;5;2.99;4.37;46.15;32.8;10.27;⚠️ Pressão de demanda — subiu acima do IPCA
AREIA MASSA FINA;2015;2021;6;49.99;75.09;50.21;36.22;10.26;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA URETRAL Nº 14 DESCARTÁVEL;2018;2022;5;0.44;0.62;39.33;26.94;10.26;⚠️ Pressão de demanda — subiu acima do IPCA
MORFINA 30 MG;2015;2018;4;0.78;0.98;25.64;13.53;10.26;⚠️ Pressão de demanda — subiu acima do IPCA
LÁPIS PRETO GRAFITE PARA DESENHO NÚMERO 4B.;2018;2021;4;0.44;0.58;31.82;19.99;10.26;⚠️ Pressão de demanda — subiu acima do IPCA
CABO DE ENXADA CONFECCIONADO EM MADEIRA MACIÇA 1,30 M.;2015;2018;4;6.49;8.12;25.12;13.53;10.17;⚠️ Pressão de demanda — subiu acima do IPCA
SAXAGLIPITINA 5MG + METFORMINA 1000MG XR CPR;2016;2019;3;4.22;5.17;22.51;11.41;10.08;⚠️ Pressão de demanda — subiu acima do IPCA
ANEL DE VEDAÇÃO SILICONE CLASS 21 AZUL CRISTOFOLI;2021;2023;3;106.76;130.0;21.77;10.68;10.02;⚠️ Pressão de demanda — subiu acima do IPCA
HALOPERIDOL 1MG CPR.;2019;2023;3;0.12;0.16;33.33;27.32;10.0;⚠️ Pressão de demanda — subiu acima do IPCA
VARFARINA SÓDICA 5 MG CPR, EM BLISTER.;2019;2024;5;0.12;0.17;45.3;33.47;10.0;⚠️ Pressão de demanda — subiu acima do IPCA
BROMETO DE N-BUTIL ESCOPOLAMINA + DIPIRONA 6,67MG+333,4MG/ML;2016;2020;4;4.15;5.31;27.93;16.45;10.0;⚠️ Pressão de demanda — subiu acima do IPCA
BACIA NA COR BRANCA  13,5 LITROS;2018;2025;3;9.9;15.8;59.6;45.15;9.98;⚠️ Pressão de demanda — subiu acima do IPCA
CABO PP 4X2,5MM;2015;2022;8;6.08;9.63;58.57;44.11;9.96;⚠️ Pressão de demanda — subiu acima do IPCA
DIMENIDRATO + PIRIDOXINA 25+5 MG / ML- GOTAS;2016;2019;3;2.36;2.88;22.25;11.41;9.91;⚠️ Pressão de demanda — subiu acima do IPCA
CAIXA 4 X 2 UNIVERSAL  BRANCA;2016;2020;3;2.9;3.71;27.93;16.45;9.89;⚠️ Pressão de demanda — subiu acima do IPCA
HIDROXIDO DE ALUMINIO 60MG + HIDROXIDO DE MAGNÉSIO 40MG/ML,;2019;2023;4;1.92;2.68;39.58;27.32;9.88;⚠️ Pressão de demanda — subiu acima do IPCA
PREDNISOLONA 3MG/ML SOLUÇÃO ORAL, COM COPO MEDIDA, FRASCO 60;2019;2023;4;3.0;4.19;39.67;27.32;9.88;⚠️ Pressão de demanda — subiu acima do IPCA
SENSOR DE TEMPERATURA TIPO PT-100 BULBO LISO PARA AUTOCLAVE;2016;2021;6;179.93;253.36;40.81;28.16;9.87;⚠️ Pressão de demanda — subiu acima do IPCA
CONTATOR COM BOBINA 220V PARA 25 A REGIME AC3;2018;2021;4;58.75;77.45;31.83;19.99;9.87;⚠️ Pressão de demanda — subiu acima do IPCA
BATERIA ALCALINA 1,5V LR44/A76/AG13;2019;2024;4;3.14;4.6;46.5;33.47;9.81;⚠️ Pressão de demanda — subiu acima do IPCA
FITA ADESIVA PLASTICA TRANSPARENTE 12MM X 30 MTS;2016;2024;8;0.54;0.89;64.81;48.71;9.8;⚠️ Pressão de demanda — subiu acima do IPCA
BROMETO DE IPRATRÓPIO 0,250MG/ML SOLUÇÃO PARA INALAÇÃO, FRAS;2019;2021;3;0.6;0.76;26.5;15.03;9.8;⚠️ Pressão de demanda — subiu acima do IPCA
GESSO COMUM;2019;2024;5;2.9;4.25;46.55;33.47;9.8;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO GALV. NBR 5580 1        (2,65MM);2015;2018;4;89.65;111.76;24.66;13.53;9.8;⚠️ Pressão de demanda — subiu acima do IPCA
ESCUMADEIRA EM ALUMÍNIO Nº 12,5;2016;2018;3;11.0;12.9;17.27;6.81;9.76;⚠️ Pressão de demanda — subiu acima do IPCA
REFORMA DE CADEIRA TIPO POLTRONA COM RODÍZIOS (REVESTIMENTO,;2015;2017;3;60.0;72.0;20.0;9.43;9.67;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA ENDOTRAQUEAL EM PVC COM BALÃO Nº8,5;2018;2021;4;3.42;4.5;31.58;19.99;9.63;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA ENDOTRAQUEAL EM PVC COM BALÃO Nº8,0;2018;2021;4;3.42;4.5;31.58;19.99;9.63;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA ENDOTRAQUEAL EM PVC COM BALÃO Nº7,0;2018;2021;4;3.42;4.5;31.58;19.99;9.63;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA ENDOTRAQUEAL EM PVC COM BALÃO Nº6,5;2018;2021;4;3.42;4.5;31.58;19.99;9.63;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA ENDOTRAQUEAL EM PVC COM BALÃO Nº7,5;2018;2021;4;3.42;4.5;31.58;19.99;9.63;⚠️ Pressão de demanda — subiu acima do IPCA
SONDA ENDOTRAQUEAL EM PVC COM BALÃO Nº9,0;2018;2021;4;3.42;4.5;31.58;19.99;9.63;⚠️ Pressão de demanda — subiu acima do IPCA
REFIL PARA ESPANADOR;2020;2024;4;12.25;17.15;40.0;27.7;9.6;⚠️ Pressão de demanda — subiu acima do IPCA
MORANGA KABOTIÁ;2015;2020;6;1.62;2.2;35.38;23.77;9.54;⚠️ Pressão de demanda — subiu acima do IPCA
MÓDULO DE CARBOIDRATOS PARA DIETA ENTERAL E ORAL TENDO COMO;2019;2021;3;21.5;27.1;26.05;15.03;9.53;⚠️ Pressão de demanda — subiu acima do IPCA
FINASTERIDA 5 MG;2015;2018;4;0.21;0.26;26.21;13.53;9.52;⚠️ Pressão de demanda — subiu acima do IPCA
CURATIVO ESTÉRIL DE ESPUMA DE POLIURETANO IMPREGNADA COM PRATA ELEMENTAR , TAMANHO G 26X 15 X 3,2 CM.;2022;2025;3;1660.0;2078.45;25.21;14.35;9.49;⚠️ Pressão de demanda — subiu acima do IPCA
EXTINTOR PQS BC 08 KG NOVO;2015;2023;7;125.0;206.32;65.06;50.77;9.47;⚠️ Pressão de demanda — subiu acima do IPCA
REMENDO QUENTE;2020;2023;3;60.0;80.0;33.33;21.81;9.45;⚠️ Pressão de demanda — subiu acima do IPCA
CILINDRO COM PISTÃO Æ 38MM;2015;2017;3;317.14;379.61;19.7;9.43;9.38;⚠️ Pressão de demanda — subiu acima do IPCA
BARRINHAS DE BANANA, SEM ADIÇÃO DE AÇÚCAR;2023;2025;3;23.84;28.5;19.55;9.3;9.36;⚠️ Pressão de demanda — subiu acima do IPCA
METRONIDAZOL 500MG/5G COM 7 APLICADORES CREME VAGINAL;2015;2018;3;2.89;3.59;24.22;13.53;9.34;⚠️ Pressão de demanda — subiu acima do IPCA
BATATA DOCE -;2015;2018;3;1.94;2.41;24.23;13.53;9.28;⚠️ Pressão de demanda — subiu acima do IPCA
MILHO DE PIPOCA.;2020;2024;3;4.28;5.98;39.72;27.7;9.25;⚠️ Pressão de demanda — subiu acima do IPCA
CONJUNTO REFEITÓRIO PARA FUNDAMENTAL COMPOSTO DE MESA COM 02;2018;2023;5;850.0;1233.0;45.06;32.8;9.23;⚠️ Pressão de demanda — subiu acima do IPCA
ALICATE ORTODONTICO JARABAK 755;2019;2025;6;98.0;148.97;52.01;39.16;9.23;⚠️ Pressão de demanda — subiu acima do IPCA
REDUÇÃO FIXA STORZ DE 63MM X 38MM;2019;2021;3;79.0;99.25;25.63;15.03;9.22;⚠️ Pressão de demanda — subiu acima do IPCA
CARVÃO ATIVADO 1KG, PACOTE.;2019;2023;4;48.0;66.73;39.02;27.32;9.2;⚠️ Pressão de demanda — subiu acima do IPCA
THINNER REF 2750 5L;2019;2021;3;43.0;54.0;25.58;15.03;9.17;⚠️ Pressão de demanda — subiu acima do IPCA
MEIO-FIO DE CONCRETO PRÉ-MOLDADO, DIMENSÕES: 100X12X10X30 CM;2021;2025;5;15.0;19.8;32.0;20.97;9.17;⚠️ Pressão de demanda — subiu acima do IPCA
MASSA RAPIDA 900ML;2018;2021;4;20.46;26.8;30.99;19.99;9.16;⚠️ Pressão de demanda — subiu acima do IPCA
HASTE TELHA 1/4 X 300MM C/ PORCA E ARRUELA;2015;2021;6;0.99;1.47;48.48;36.22;9.09;⚠️ Pressão de demanda — subiu acima do IPCA
BROCA DE BAIXA ROTAÇÃO HASTE LONGA N° 6;2015;2024;6;2.42;4.18;72.73;58.06;9.09;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL CARTAO.;2018;2023;3;0.63;0.9;42.86;32.8;9.09;⚠️ Pressão de demanda — subiu acima do IPCA
ÓLEO MINERAL  100ML;2015;2018;4;1.49;1.84;23.74;13.53;9.06;⚠️ Pressão de demanda — subiu acima do IPCA
CHAVE ELETRICA REFLETOR OLSEN;2022;2025;4;55.4;69.0;24.55;14.35;8.92;⚠️ Pressão de demanda — subiu acima do IPCA
PNEU NOVO 1100X22, RADIAL, BORRACHUDO, 16 LONAS;2016;2021;4;2010.0;2805.0;39.55;28.16;8.89;⚠️ Pressão de demanda — subiu acima do IPCA
HIDROXIDO DE ALUMINIO 60MG + HIDROXIDO DE MAGNÉSIO 40MG/ML;2015;2018;4;1.58;1.95;23.42;13.53;8.86;⚠️ Pressão de demanda — subiu acima do IPCA
RECEITUÁRIO SIMPLES;2016;2023;6;0.84;1.29;53.57;41.85;8.86;⚠️ Pressão de demanda — subiu acima do IPCA
DOCE DE LEITE EM PASTA;2018;2023;4;4.1;5.92;44.39;32.8;8.86;⚠️ Pressão de demanda — subiu acima do IPCA
CADERNO UNIVERSITÁRIO CAPA DURA 10 MATÉRIAS;2015;2018;3;5.79;7.15;23.49;13.53;8.81;⚠️ Pressão de demanda — subiu acima do IPCA
CONJUNTO PRÉ ESCOLAR COLETIVO DE QUATRO LUGARES, MODELO TREV;2018;2021;4;747.0;975.0;30.52;19.99;8.78;⚠️ Pressão de demanda — subiu acima do IPCA
COLCHETE Nº 09;2015;2018;4;6.4;7.9;23.44;13.53;8.75;⚠️ Pressão de demanda — subiu acima do IPCA
FLUNITRAZEPAM 2MG CPR;2016;2020;3;0.85;1.08;27.06;16.45;8.75;⚠️ Pressão de demanda — subiu acima do IPCA
COLCHETE Nº 10;2015;2018;4;6.4;7.9;23.44;13.53;8.75;⚠️ Pressão de demanda — subiu acima do IPCA
AMOXICILINA 500MG;2015;2023;3;0.23;0.38;61.54;50.77;8.7;⚠️ Pressão de demanda — subiu acima do IPCA
METOCLOPRAMIDA 5MG/ML  2ML;2015;2018;4;0.23;0.28;23.42;13.53;8.7;⚠️ Pressão de demanda — subiu acima do IPCA
FITA DUPLA FACE FIXA FORTE EMBORRACHADA;2020;2024;4;5.3;7.35;38.68;27.7;8.64;⚠️ Pressão de demanda — subiu acima do IPCA
LINGUIÇA TOSCANA;2018;2021;4;13.69;17.85;30.39;19.99;8.62;⚠️ Pressão de demanda — subiu acima do IPCA
PALITO DE DENTES;2018;2023;4;0.79;1.15;45.57;32.8;8.57;⚠️ Pressão de demanda — subiu acima do IPCA
